Distance_(µm),Gray_Value
0.000,179.3333
0.442,183.6667
0.883,188.5677
1.325,193.8021
1.766,198.8351
2.208,200.1684
2.649,199.7032
3.091,200.2756
3.532,200.6737
3.974,204.5171
4.416,200.0930
4.857,204.7915
5.299,203.9117
5.740,203.0000
6.182,206.9611
6.623,217.6502
7.065,210.7503
7.507,213.7915
7.948,210.7762
8.390,212.2167
8.831,205.1755
9.273,203.9482
9.714,204.7939
10.156,205.9659
10.597,207.4170
11.039,206.2544
11.481,206.0236
11.922,209.5536
12.364,206.3074
12.805,209.2320
13.247,207.2579
13.688,202.2556
14.130,203.5277
14.572,201.8775
15.013,205.5760
15.455,209.5077
15.896,207.0365
16.338,201.5029
16.779,202.3133
17.221,208.1684
17.662,193.0671
18.104,199.0518
18.546,198.6443
18.987,200.2332
19.429,202.6867
19.870,202.3828
20.312,203.4252
20.753,203.7668
21.195,201.3534
21.636,203.2320
22.078,199.9470
22.520,202.0459
22.961,205.1413
23.403,207.9270
23.844,202.1048
24.286,202.1201
24.727,201.6148
25.169,208.0000
25.611,204.9706
26.052,206.5854
26.494,204.0212
26.935,201.0177
27.377,199.9117
27.818,204.2556
28.260,199.8598
28.701,201.8492
29.143,202.1826
29.585,206.6867
30.026,201.0919
30.468,202.3333
30.909,204.6914
31.351,201.1296
31.792,202.1873
32.234,203.6207
32.676,201.8810
33.117,202.3816
33.559,204.9329
34.000,204.3168
34.442,203.4782
34.883,199.5901
35.325,201.6031
35.766,201.3475
36.208,202.6290
36.650,201.2450
37.091,202.7668
37.533,203.7868
37.974,202.0424
38.416,205.6667
38.857,198.9600
39.299,202.3333
39.741,204.0872
40.182,203.6714
40.624,205.0448
41.065,204.0671
41.507,200.2415
41.948,198.6514
42.390,204.3345
42.831,203.2002
43.273,197.0294
43.715,196.0130
44.156,200.0353
44.598,202.6749
45.039,200.9234
45.481,199.7220
45.922,196.7103
46.364,200.0695
46.805,199.2155
47.247,197.4335
47.689,198.3145
48.130,209.6832
48.572,204.4959
49.013,197.3510
49.455,197.5677
49.896,203.4452
50.338,206.6725
50.780,204.6372
51.221,203.2744
51.663,202.3486
52.104,203.2603
52.546,205.8999
52.987,203.3439
53.429,205.3333
53.870,205.3981
54.312,199.8504
54.754,199.3804
55.195,201.6125
55.637,200.5830
56.078,201.3263
56.520,198.2780
56.961,200.8881
57.403,203.2097
57.845,201.8528
58.286,200.3333
58.728,200.7633
59.169,204.3522
59.611,208.9764
60.052,204.6973
60.494,198.2214
60.935,202.0801
61.377,207.3145
61.819,199.1107
62.260,198.6089
62.702,199.3416
63.143,203.6667
63.585,203.8952
64.026,207.8752
64.468,197.4641
64.909,199.5748
65.351,203.9823
65.793,204.6478
66.234,203.9658
66.676,205.7750
67.117,204.4912
67.559,201.5430
68.000,198.2697
68.442,206.7797
68.884,206.7173
69.325,206.0000
69.767,206.0919
70.208,210.9305
70.650,203.4971
71.091,198.6490
71.533,203.3569
71.974,205.3333
72.416,202.4841
72.858,204.9187
73.299,200.5760
73.741,205.0848
74.182,202.8080
74.624,197.4323
75.065,201.8716
75.507,203.5630
75.949,205.0848
76.390,205.2556
76.832,203.6243
77.273,201.5713
77.715,201.5889
78.156,205.1543
78.598,206.7409
79.039,205.5171
79.481,204.2144
79.923,201.9482
80.364,200.1649
80.806,199.0000
81.247,198.8504
81.689,203.0695
82.130,202.9293
82.572,204.8752
83.013,201.3333
83.455,203.0836
83.897,200.4688
84.338,201.8846
84.780,204.3333
85.221,202.9482
85.663,201.8104
86.104,202.1967
86.546,201.1519
86.988,201.4605
87.429,202.2049
87.871,198.7220
88.312,201.5983
88.754,209.5536
89.195,206.0012
89.637,202.0848
90.078,207.0153
90.520,216.4582
90.962,207.2379
91.403,196.6549
91.845,198.2462
92.286,202.8363
92.728,203.2038
93.169,205.0636
93.611,198.4959
94.053,197.1143
94.494,199.4440
94.936,204.5453
95.377,200.5618
95.819,201.9800
96.260,201.5948
96.702,208.5559
97.143,202.3333
97.585,197.4440
98.027,199.6608
98.468,206.4629
98.910,203.9823
99.351,201.5807
99.793,206.0707
100.234,206.1779
100.676,202.9340
101.118,200.8905
101.559,199.1708
102.001,202.0907
102.442,200.5230
102.884,205.3946
103.325,203.0306
103.767,203.1260
104.208,202.8999
104.650,207.1037
105.092,201.6608
105.533,198.8528
105.975,202.7668
106.416,206.5371
106.858,200.9482
107.299,203.3651
107.741,200.7256
108.182,199.7668
108.624,203.1979
109.066,209.8905
109.507,201.1790
109.949,202.3710
110.390,203.2521
110.832,204.9588
111.273,204.2002
111.715,203.3769
112.157,203.6231
112.598,204.2050
113.040,202.1048
113.481,200.9753
113.923,201.3333
114.364,201.5206
114.806,201.9081
115.247,199.0342
115.689,196.6667
116.131,201.8351
116.572,205.3734
117.014,199.8516
117.455,198.7008
117.897,202.0624
118.338,204.4299
118.780,208.3074
119.222,210.3098
119.663,206.3486
120.105,202.6031
120.546,202.4912
120.988,202.1107
121.429,206.1979
121.871,202.8657
122.312,205.7421
122.754,204.5807
123.196,203.4323
123.637,203.4817
124.079,203.4488
124.520,200.4075
124.962,197.6667
125.403,202.7161
125.845,211.4853
126.286,209.0730
126.728,201.9270
127.170,204.7527
127.611,205.4817
128.053,197.9364
128.494,202.0483
128.936,201.5936
129.377,203.5230
129.819,202.7350
130.261,200.4947
130.702,198.6914
131.144,205.9623
131.585,212.9246
132.027,208.2850
132.468,200.2768
132.910,202.7444
133.351,204.3698
133.793,207.6879
134.235,204.2038
134.676,201.2792
135.118,203.3333
135.559,206.0942
136.001,200.8422
136.442,200.9293
136.884,202.5618
137.326,203.7950
137.767,206.5218
138.209,206.3875
138.650,204.0448
139.092,204.6525
139.533,207.6596
139.975,203.0153
140.416,198.8009
140.858,202.2603
141.300,197.8080
141.741,200.2933
142.183,202.4511
142.624,206.3793
143.066,197.6761
143.507,203.5112
143.949,202.2214
144.391,205.9211
144.832,200.9187
145.274,200.9776
145.715,200.6372
146.157,203.4170
146.598,197.1508
147.040,195.6667
147.481,196.3286
147.923,202.8080
148.365,196.3557
148.806,201.0954
149.248,205.3875
149.689,204.7998
150.131,201.8799
150.572,199.9564
151.014,204.4594
151.455,199.5795
151.897,200.0000
152.339,196.9117
152.780,201.5277
153.222,205.0271
153.663,199.8822
154.105,198.9658
154.546,206.2191
154.988,208.1366
155.430,201.1602
155.871,198.2038
156.313,197.6254
156.754,202.6066
157.196,199.3793
157.637,200.9494
158.079,201.6714
158.520,203.0542
158.962,198.3498
159.404,200.4005
159.845,198.4865
160.287,204.0212
160.728,199.3345
161.170,196.6761
161.611,195.1413
162.053,196.5147
162.495,199.9494
162.936,199.5701
163.378,197.5277
163.819,201.4523
164.261,202.8033
164.702,204.3416
165.144,206.0813
165.585,205.0342
166.027,200.2332
166.469,199.9753
166.910,200.3498
167.352,204.0813
167.793,205.8657
168.235,202.2320
168.676,202.0683
169.118,200.9647
169.559,203.8386
170.001,202.9234
170.443,199.0636
170.884,203.1955
171.326,198.6478
171.767,198.0283
172.209,198.8622
172.650,199.1095
173.092,199.6113
173.534,198.6125
173.975,200.6608
174.417,202.5677
174.858,200.5736
175.300,201.9458
175.741,196.1555
176.183,204.4181
176.624,202.1566
177.066,202.1708
177.508,202.1826
177.949,204.2485
178.391,207.3051
178.832,207.9529
179.274,205.7232
179.715,205.1590
180.157,206.5442
180.599,206.9835
181.040,203.6266
181.482,202.6690
181.923,203.8092
182.365,208.8822
182.806,206.5194
183.248,207.6749
183.689,202.7350
184.131,201.9329
184.573,202.8928
185.014,202.0306
185.456,202.6113
185.897,203.6219
186.339,203.0601
186.780,206.4817
187.222,204.0577
187.663,207.5124
188.105,201.7409
188.547,200.7527
188.988,202.5029
189.430,198.9623
189.871,199.4252
190.313,203.6066
190.754,200.5724
191.196,204.3428
191.638,202.5300
192.079,203.6667
192.521,202.3333
192.962,205.6514
193.404,203.8869
193.845,205.7574
194.287,204.8834
194.728,202.0919
195.170,201.4005
195.612,204.2909
196.053,201.6490
196.495,202.6926
196.936,201.0424
197.378,207.2014
197.819,202.0000
198.261,206.5960
198.703,206.4488
199.144,203.3557
199.586,205.3121
200.027,206.8469
200.469,206.8469
200.910,208.6667
201.352,206.9764
201.793,206.1472
202.235,204.8857
202.677,204.7267
203.118,203.5406
203.560,201.2038
204.001,203.6160
204.443,209.5159
204.884,208.1649
205.326,207.6808
205.768,204.7373
206.209,204.4959
206.651,201.5548
207.092,203.9340
207.534,204.0012
207.975,212.6172
208.417,209.7338
208.858,204.2697
209.300,207.2756
209.742,208.9988
210.183,202.8092
210.625,207.3404
211.066,201.0188
211.508,197.2320
211.949,204.6608
212.391,201.9741
212.832,198.0294
213.274,205.3157
213.716,208.1826
214.157,207.9800
214.599,202.6879
215.040,207.5630
215.482,202.9022
215.923,211.3486
216.365,209.3722
216.807,203.0530
217.248,206.4405
217.690,207.6302
218.131,208.0542
218.573,213.0082
219.014,207.3981
219.456,210.7915
219.897,202.7126
220.339,200.3804
220.781,201.7208
221.222,204.5877
221.664,204.8045
222.105,209.6054
222.547,202.8233
222.988,199.3333
223.430,203.8492
223.872,206.0719
224.313,202.7103
224.755,204.1637
225.196,205.8198
225.638,203.7479
226.079,208.2332
226.521,209.1849
226.962,206.5713
227.404,205.8975
227.846,205.0789
228.287,206.0907
228.729,207.0412
229.170,203.3793
229.612,207.0459
230.053,211.7738
230.495,204.8139
230.936,205.7939
231.378,206.1296
231.820,203.3993
232.261,208.3192
232.703,209.1449
233.144,209.5265
233.586,207.7232
234.027,210.7762
234.469,212.8009
234.911,207.2120
235.352,206.8233
235.794,201.5560
236.235,207.8551
236.677,208.4511
237.118,209.7538
237.560,207.3581
238.001,211.4405
238.443,211.5948
238.885,213.8598
239.326,209.9588
239.768,209.6266
240.209,209.7208
240.651,207.2250
241.092,209.4841
241.534,205.3899
241.976,207.2968
242.417,206.2273
242.859,209.8056
243.300,212.8116
243.742,210.9234
244.183,206.7621
244.625,209.0989
245.066,213.7868
245.508,208.9929
245.950,210.4441
246.391,206.2709
246.833,207.3204
247.274,205.9140
247.716,208.0448
248.157,207.5713
248.599,212.4441
249.040,214.2179
249.482,212.6254
249.924,206.6667
250.365,215.3333
250.807,213.7691
251.248,212.4817
251.690,211.9046
252.131,212.4982
252.573,212.6796
253.015,215.9164
253.456,211.4723
253.898,213.5878
254.339,208.5983
254.781,217.0023
255.222,217.0106
255.664,221.4758
256.105,212.1154
256.547,216.4841
256.989,210.7986
257.430,212.5642
257.872,211.6643
258.313,215.9435
258.755,212.5053
259.196,216.5194
259.638,216.4806
260.080,215.5630
260.521,212.7809
260.963,212.8245
261.404,210.8351
261.846,212.2285
262.287,211.5901
262.729,211.8481
263.170,214.6667
263.612,218.3675
264.054,218.6514
264.495,216.6254
264.937,209.7951
265.378,211.4028
265.820,214.1826
266.261,215.2262
266.703,208.2002
267.145,211.4511
267.586,212.3581
268.028,209.7562
268.469,214.2815
268.911,219.7821
269.352,214.7256
269.794,215.4146
270.235,214.2638
270.677,211.4335
271.119,208.5830
271.560,213.7680
272.002,212.0789
272.443,217.0000
272.885,215.2839
273.326,211.0141
273.768,213.7738
274.209,216.9458
274.651,211.2591
275.093,212.1696
275.534,213.9706
275.976,216.7656
276.417,215.0000
276.859,216.9764
277.300,215.1991
277.742,215.7444
278.184,212.0813
278.625,216.0000
279.067,213.8033
279.508,214.9329
279.950,214.7114
280.391,219.0754
280.833,217.3828
281.274,216.5936
281.716,213.4252
282.158,214.7597
282.599,216.4229
283.041,218.3192
283.482,215.7998
283.924,217.9529
284.365,214.8080
284.807,214.4829
285.249,216.0283
285.690,217.6290
286.132,209.8080
286.573,214.8763
287.015,216.2297
287.456,215.0342
287.898,213.6301
288.339,213.0000
288.781,214.6254
289.223,212.5925
289.664,214.6549
290.106,212.8316
290.547,209.4017
290.989,214.3333
291.430,212.7244
291.872,214.2674
292.313,213.1260
292.755,214.8704
293.197,213.1519
293.638,219.2992
294.080,217.2097
294.521,215.9965
294.963,213.5289
295.404,216.9435
295.846,214.4229
296.288,215.6525
296.729,216.9635
297.171,211.8822
297.612,212.2191
